gender,signup_date,state_code,acquisition_channel
F,2023-02-05,CA,google_ads
F,2026-06-07,CA,referral
F,2022-10-23,MN,google_ads
M,2024-05-07,CA,referral
F,2023-08-22,PA,meta
M,2024-02-24,MO,meta
F,2026-08-23,OH,referral
F,2022-08-29,NC,organic
M,2024-05-21,FL,google_ads
M,2023-05-28,NJ,referral
F,2023-06-26,FL,google_ads
F,2025-01-30,TX,referral
F,2023-07-03,GA,referral
M,2026-01-25,OH,organic
M,2022-08-17,OR,organic
M,2025-07-25,PA,google_ads
M,2023-12-27,CO,referral
M,2025-08-07,VA,meta
M,2025-05-01,OR,referral
M,2023-03-04,MI,google_ads
M,2024-08-22,MA,meta
F,2026-01-25,TX,organic
F,2024-06-16,NY,meta
F,2022-12-20,WI,organic
M,2026-08-25,TX,organic
M,2023-10-13,AK,meta
F,2025-02-16,AL,referral
M,2024-11-03,WA,google_ads
M,2024-03-30,CT,organic
F,2025-09-07,PA,organic
F,2024-08-14,OH,organic
F,2022-08-08,OR,meta
F,2023-03-18,NJ,google_ads
M,2023-10-16,FL,referral
M,2022-11-08,FL,organic
M,2026-03-03,TX,referral
F,2023-07-21,DC,referral
M,2023-11-10,MO,google_ads
M,2023-05-06,MN,google_ads
M,2023-06-27,TX,google_ads
M,2026-08-17,IN,organic
F,2025-02-28,OH,organic
M,2024-08-29,MI,referral
M,2023-12-12,FL,google_ads
M,2024-04-21,CA,referral
M,2023-11-23,VA,organic
F,2023-10-09,OK,organic
M,2026-04-09,DC,meta
M,2026-07-31,CA,meta
M,2023-04-16,KY,meta
F,2023-05-01,CA,google_ads
M,2022-12-08,CA,google_ads
M,2023-09-17,TX,meta
M,2024-10-19,KS,google_ads
M,2023-05-02,PA,meta
F,2024-04-18,DC,organic
F,2026-07-23,VA,organic
M,2022-09-16,AL,meta
F,2024-06-28,FL,organic
M,2026-07-29,GA,referral
M,2023-12-22,NY,google_ads
M,2025-06-15,DC,referral
M,2025-01-28,NV,referral
F,2024-09-04,GA,referral
F,2025-09-08,DC,google_ads
F,2024-07-15,DC,referral
F,2025-12-12,TX,google_ads
M,2023-01-13,FL,meta
M,2025-12-31,WV,referral
F,2025-07-13,OH,referral
F,2025-08-31,OH,referral
F,2026-01-03,LA,organic
M,2023-02-16,OK,meta
M,2023-01-03,CA,meta
M,2026-01-28,AZ,organic
M,2025-12-26,AZ,meta
M,2023-12-31,TX,meta
F,2023-07-13,NV,meta
F,2024-11-10,TN,meta
F,2025-11-12,NJ,referral
M,2022-08-30,AL,meta
M,2024-05-04,OK,referral
F,2023-10-28,NC,google_ads
F,2023-04-22,IN,referral
M,2024-03-24,TX,organic
F,2023-08-09,OH,google_ads
F,2024-07-29,NC,referral
M,2025-12-23,AZ,organic
M,2023-09-28,TN,organic
M,2022-12-14,DC,organic
M,2023-06-16,NY,meta
F,2025-02-23,DC,organic
M,2025-07-05,UT,organic
F,2025-01-15,CT,meta
F,2024-10-23,MA,referral
M,2023-11-05,NY,referral
F,2024-11-11,TN,organic
F,2023-10-04,TX,referral
M,2024-01-15,NC,referral
F,2025-02-06,TX,google_ads
F,2022-11-15,IN,organic
M,2023-07-02,FL,meta
M,2026-08-02,TX,referral
F,2025-12-15,IA,google_ads
F,2025-10-27,CT,google_ads
F,2025-02-25,NY,google_ads
F,2024-10-24,TX,google_ads
F,2024-03-07,MO,referral
M,2026-04-10,GA,organic
F,2023-11-28,WV,referral
M,2026-05-23,TX,referral
M,2023-07-29,TN,organic
M,2024-12-21,AZ,meta
M,2023-06-09,SC,referral
M,2024-10-08,NY,google_ads
F,2025-11-28,CA,referral
M,2025-03-12,CA,referral
F,2023-08-12,TX,google_ads
M,2025-07-05,OH,referral
M,2023-08-29,TX,organic
F,2026-04-29,MS,meta
F,2024-07-27,VA,meta
F,2025-08-18,NH,organic
M,2025-02-02,NC,organic
M,2025-11-13,MA,google_ads
M,2026-04-23,OH,meta
M,2025-03-30,CA,google_ads
M,2024-12-09,IN,organic
F,2026-06-06,IL,referral
M,2025-05-07,TX,organic
M,2024-11-19,NY,google_ads
M,2024-10-07,DE,meta
M,2025-05-06,AZ,meta
M,2023-04-26,OH,organic
F,2024-10-04,AL,meta
F,2025-10-21,IL,referral
M,2023-05-12,CA,google_ads
F,2024-12-13,LA,referral
F,2026-05-16,TX,referral
F,2026-01-15,FL,referral
F,2023-11-06,NY,google_ads
M,2023-06-04,FL,meta
F,2024-04-15,FL,organic
M,2026-07-08,CO,organic
F,2024-04-13,GA,google_ads
F,2023-03-17,OK,meta
M,2023-04-04,CA,google_ads
M,2026-03-05,OR,meta
F,2026-08-17,CA,referral
F,2022-11-25,AR,google_ads
M,2024-12-24,DE,organic
F,2025-08-13,TX,referral
F,2024-07-14,TX,meta
M,2024-03-11,TX,meta
M,2023-11-27,TX,google_ads
F,2023-09-05,NM,google_ads
F,2025-08-14,KS,organic
M,2022-09-24,DC,referral
M,2026-03-17,GA,referral
F,2026-05-06,PA,organic
F,2022-10-22,NY,referral
M,2025-02-05,FL,organic
F,2026-02-13,IL,google_ads
F,2023-11-14,PA,referral
M,2023-04-13,FL,referral
M,2025-06-19,CA,referral
F,2023-11-08,FL,referral
M,2023-03-10,CA,meta
M,2026-07-27,PA,organic
F,2026-02-12,OR,organic
F,2024-11-16,SC,meta
M,2023-11-11,NC,google_ads
M,2026-02-04,TX,meta
M,2022-10-01,MI,referral
F,2024-01-03,MO,referral
F,2022-11-05,CA,meta
F,2023-03-28,TX,referral
M,2026-02-10,NC,meta
F,2023-11-09,AZ,google_ads
F,2026-06-13,NY,meta
F,2023-05-07,NC,google_ads
M,2026-06-21,CT,meta
M,2023-05-08,AR,google_ads
F,2025-03-11,CA,organic
F,2024-04-27,LA,referral
F,2022-09-19,NY,google_ads
F,2022-08-30,MI,referral
F,2026-08-01,LA,meta
M,2025-04-14,LA,google_ads
M,2024-05-13,NY,organic
M,2026-05-05,CO,meta
F,2024-09-28,TX,organic
F,2023-09-22,NE,referral
M,2026-06-13,MD,meta
M,2026-08-01,WA,meta
F,2026-05-13,IL,organic
F,2024-10-05,MS,referral
F,2024-11-17,NM,referral
M,2024-04-20,TX,referral
M,2023-09-16,DC,organic
F,2025-12-24,PA,meta
F,2023-04-25,NM,google_ads
M,2026-02-11,FL,meta
F,2024-02-15,KY,organic
M,2022-11-17,LA,meta
F,2024-10-03,TX,referral
F,2025-08-14,WA,meta
F,2026-01-10,FL,referral
M,2023-05-01,MN,meta
F,2025-08-13,FL,referral
M,2024-04-27,IL,meta
M,2025-04-25,FL,google_ads
F,2024-04-03,CA,referral
F,2023-11-14,NC,google_ads
F,2025-12-11,GA,meta
F,2026-01-07,CA,google_ads
F,2024-05-16,CA,referral
F,2022-09-02,TX,google_ads
M,2025-04-12,OK,google_ads
M,2022-11-06,WA,google_ads
M,2023-08-09,TX,meta
F,2026-07-29,GA,meta
M,2023-08-21,MA,meta
F,2022-11-28,GA,meta
M,2025-06-29,CA,google_ads
M,2025-09-19,FL,meta
M,2024-10-29,NY,google_ads
F,2024-05-29,VA,organic
M,2024-11-18,MI,meta
F,2026-01-04,IL,meta
M,2023-03-16,TX,google_ads
M,2022-10-10,NY,meta
F,2022-10-26,OK,organic
M,2024-10-09,VA,referral
M,2024-04-14,DC,google_ads
M,2023-11-13,CA,organic
M,2022-09-21,LA,meta
M,2023-02-13,SC,google_ads
F,2023-05-21,WI,organic
F,2026-03-02,OH,meta
M,2025-03-13,AL,organic
F,2025-11-24,MO,referral
M,2025-02-18,TX,google_ads
F,2022-11-05,CA,organic
M,2024-07-20,MA,meta
F,2025-09-01,CA,referral
F,2023-10-01,IL,referral
M,2023-09-12,FL,google_ads
F,2024-01-02,FL,google_ads
F,2023-02-01,MO,referral
F,2026-01-21,NV,organic
M,2026-04-09,MI,referral
M,2022-09-08,CA,meta
F,2022-08-06,ID,meta
M,2026-03-06,CA,organic
M,2026-07-16,NY,organic
M,2025-02-16,TX,google_ads
F,2025-09-11,FL,referral
F,2026-05-05,NY,organic
M,2025-04-24,TX,google_ads
F,2026-02-01,MO,organic
M,2023-02-23,UT,meta
M,2022-09-05,NM,organic
F,2024-06-04,OH,organic
F,2023-07-25,VA,referral
F,2023-03-20,IL,meta
F,2022-08-09,FL,referral
M,2024-08-21,DC,meta
F,2025-10-22,AL,google_ads
F,2024-08-26,UT,google_ads
F,2024-07-31,FL,organic
F,2022-12-17,FL,organic
M,2026-01-29,IL,google_ads
M,2022-12-25,PA,google_ads
M,2026-01-03,NY,referral
M,2025-08-14,NE,referral
M,2022-10-25,TN,referral
F,2025-01-28,IN,google_ads
M,2025-04-13,CA,organic
F,2026-04-25,TX,google_ads
F,2023-08-16,WV,google_ads
F,2024-12-31,CO,referral
F,2022-12-11,TX,referral
F,2025-06-05,LA,meta
M,2025-08-23,AL,referral
M,2022-08-15,AZ,google_ads
M,2026-07-14,NC,referral
M,2024-11-15,CA,referral
F,2022-10-14,FL,google_ads
F,2024-10-05,CA,referral
F,2025-06-10,CA,organic
F,2025-06-08,OH,organic
M,2024-08-22,TX,referral
M,2022-12-27,NY,organic
M,2026-05-22,CA,referral
M,2022-09-03,CA,organic
M,2025-09-03,IN,meta
F,2023-09-08,CA,google_ads
M,2023-11-15,NY,meta
F,2026-01-08,CA,organic
M,2026-07-07,FL,referral
F,2023-08-30,NY,organic
F,2025-06-28,NY,google_ads
M,2024-01-07,TX,meta
F,2024-09-06,FL,organic
M,2025-10-17,CA,organic
M,2025-06-03,MI,meta
F,2026-01-24,PA,referral
M,2024-04-26,TX,organic
M,2024-02-25,PA,google_ads
M,2024-11-14,CA,organic
F,2024-10-18,IN,organic
F,2023-08-05,TX,organic
F,2026-04-05,TX,organic
M,2024-12-23,NY,organic
M,2026-05-19,KS,google_ads
M,2022-08-31,OH,referral
F,2025-12-11,VA,organic
F,2026-01-08,NY,organic
F,2026-04-14,FL,referral
M,2025-12-10,CT,meta
M,2024-04-25,TX,referral
M,2025-12-07,TX,organic
F,2026-04-13,AL,referral
M,2022-08-21,VA,referral
M,2024-04-22,TN,referral
M,2023-05-07,PA,meta
M,2022-12-23,IA,meta
M,2024-12-12,KY,meta
M,2022-12-28,GA,google_ads
F,2022-08-23,VA,referral
M,2024-08-21,AZ,referral
M,2025-07-29,FL,referral
M,2024-06-04,DE,organic
F,2024-07-21,CO,google_ads
M,2023-09-05,KY,google_ads
F,2026-04-09,CA,google_ads
M,2023-03-14,CA,meta
M,2023-03-04,CT,organic
M,2026-04-24,DC,google_ads
F,2024-02-22,IN,referral
F,2026-03-19,MA,google_ads
F,2025-04-30,FL,organic
M,2023-04-13,CO,meta
M,2025-04-08,MN,google_ads
M,2024-03-16,AL,organic
M,2022-10-25,WA,meta
F,2023-09-20,MI,organic
M,2025-02-15,CA,referral
M,2024-04-09,MO,referral
M,2026-08-22,OH,referral
F,2023-12-08,NE,organic
M,2022-09-30,CA,meta
M,2025-09-12,CA,referral
F,2024-09-28,NC,meta
F,2024-01-17,TX,google_ads
F,2025-12-17,CA,organic
M,2025-05-04,SD,organic
M,2023-05-18,CO,referral
F,2025-01-18,TX,organic
M,2023-03-07,TX,google_ads
M,2026-06-25,MA,organic
F,2024-02-10,LA,google_ads
F,2026-06-07,VA,google_ads
F,2024-04-16,FL,meta
F,2024-09-06,IN,google_ads
M,2026-06-29,NY,referral
F,2025-01-13,CO,google_ads
M,2022-08-15,TX,meta
M,2026-04-13,KS,referral
M,2023-01-14,PA,referral
F,2025-07-19,GA,google_ads
F,2024-02-29,GA,organic
M,2025-10-02,NC,google_ads
F,2023-08-13,FL,meta
M,2025-06-15,TN,referral
M,2023-01-04,MO,meta
M,2026-01-09,CO,google_ads
M,2023-03-24,PA,organic
M,2022-09-06,CA,referral
M,2024-10-10,FL,meta
M,2025-09-30,CA,referral
F,2024-06-14,CA,google_ads
F,2024-07-02,FL,referral
M,2023-04-29,MI,organic
F,2025-11-20,WA,referral
M,2023-01-27,TX,google_ads
M,2023-11-01,DC,organic
F,2024-05-06,CO,google_ads
F,2023-05-13,OR,google_ads
F,2025-05-19,WA,referral
F,2026-06-11,CA,google_ads
M,2025-08-30,TX,referral
F,2026-04-06,IN,referral
F,2025-10-26,TX,referral
F,2022-10-28,NC,meta
M,2024-03-14,NM,organic
F,2026-05-21,IA,referral
F,2025-02-15,CA,organic
M,2023-11-10,FL,referral
M,2023-12-17,AR,organic
M,2026-08-23,MA,referral
M,2024-08-21,PA,referral
F,2026-03-15,NJ,meta
M,2023-04-30,SD,meta
M,2024-03-14,TX,organic
M,2022-08-25,NY,organic
F,2024-05-22,TX,referral
M,2024-08-24,FL,google_ads
F,2025-12-27,TX,google_ads
F,2024-12-04,OH,referral
M,2025-09-21,NC,google_ads
F,2024-12-19,AL,referral
M,2025-02-15,SC,google_ads
M,2024-08-08,WA,google_ads
F,2025-04-12,NV,organic
F,2023-11-17,MO,meta
M,2022-11-02,MO,google_ads
F,2022-10-08,NV,referral
F,2023-08-13,NY,referral
F,2023-08-07,NC,meta
F,2023-10-11,FL,referral
F,2026-03-12,FL,google_ads
F,2025-07-08,AZ,referral
M,2026-06-14,OH,organic
M,2026-08-26,WV,meta
M,2024-12-13,TX,referral
F,2023-09-22,MA,meta
M,2024-02-25,NC,meta
M,2025-05-29,AK,referral
M,2024-04-05,NY,organic
F,2024-12-31,IN,google_ads
M,2024-06-09,TX,referral
M,2024-07-16,KY,google_ads
M,2025-03-08,NV,referral
M,2024-11-18,DC,meta
M,2023-01-31,NY,google_ads
M,2025-07-16,FL,referral
M,2026-06-09,NC,meta
F,2024-05-17,MA,organic
M,2024-12-15,OK,organic
M,2025-03-10,OH,organic
F,2022-09-22,TX,google_ads
F,2025-08-26,TX,google_ads
M,2022-10-26,FL,meta
M,2026-02-16,MN,meta
M,2022-10-28,NC,google_ads
M,2023-03-14,OH,google_ads
M,2024-01-31,TN,organic
M,2025-02-22,MI,organic
M,2022-11-13,MI,referral
F,2023-07-18,IN,google_ads
F,2022-11-25,MO,meta
F,2025-03-19,FL,referral
F,2022-08-20,IL,referral
M,2025-07-03,NY,referral
M,2024-12-31,MO,meta
M,2024-05-26,CO,meta
F,2025-07-13,MI,meta
M,2024-04-13,KS,google_ads
F,2023-09-23,ID,meta
F,2022-09-27,NC,google_ads
F,2025-12-27,MO,referral
M,2022-09-02,NY,google_ads
F,2024-08-15,WA,google_ads
M,2025-01-09,PA,meta
F,2025-08-29,WI,organic
F,2026-05-26,GA,organic
F,2025-01-29,SC,referral
M,2024-02-23,NY,referral
F,2024-11-24,IL,meta
F,2023-04-20,NC,organic
M,2025-06-24,VA,organic
M,2024-03-31,FL,meta
F,2023-10-23,CO,organic
F,2024-12-01,GA,organic
M,2026-03-13,NJ,google_ads
F,2026-03-04,LA,meta
F,2025-06-27,NV,google_ads
M,2026-05-31,KY,google_ads
M,2025-02-08,KY,meta
M,2024-05-08,FL,google_ads
F,2025-11-21,VA,meta
F,2025-10-27,MO,organic
M,2026-06-15,TX,meta
M,2024-08-19,TX,referral
F,2025-12-19,PA,meta
M,2025-11-25,IL,organic
M,2024-09-11,MI,referral
M,2024-11-12,DC,meta
M,2022-11-04,FL,google_ads
F,2023-10-19,OH,referral
M,2024-02-04,VA,meta
F,2026-03-14,FL,organic
F,2026-07-01,TN,meta
F,2025-03-26,OK,referral
F,2026-07-19,WI,organic
M,2024-05-28,IN,google_ads
M,2025-03-10,CA,google_ads
F,2024-06-16,FL,meta
M,2026-08-10,FL,referral
M,2026-06-27,CO,meta
F,2025-08-02,PA,meta
F,2022-08-22,NE,referral
M,2022-09-20,VA,referral
M,2024-06-23,OK,referral
M,2023-02-16,NY,google_ads
M,2022-08-16,FL,referral
M,2024-06-17,MA,google_ads
M,2025-08-24,FL,referral
F,2025-09-26,MN,meta
M,2025-07-30,NY,referral
M,2023-07-03,OH,meta
F,2024-03-27,FL,meta
M,2022-09-11,OH,organic
M,2023-12-07,PA,organic
F,2024-02-14,TX,organic
F,2024-01-07,TX,google_ads
M,2024-11-26,CA,google_ads
F,2024-05-27,NY,referral
M,2024-08-21,FL,google_ads
M,2024-06-05,VA,meta
F,2026-08-28,AZ,meta
M,2024-07-15,FL,organic
F,2023-05-01,OH,google_ads
F,2026-04-18,OH,referral
M,2025-06-30,OH,google_ads
F,2022-09-06,CA,meta
M,2024-09-28,WA,referral
M,2022-08-01,UT,organic
M,2023-07-25,LA,referral
M,2024-12-03,CA,meta
M,2022-11-13,UT,referral
M,2023-04-22,NY,organic
F,2025-03-01,IL,referral
M,2024-07-09,DE,meta
M,2023-03-06,CA,google_ads
M,2025-06-26,OH,google_ads
M,2026-02-20,NY,organic
F,2026-06-03,MD,referral
F,2023-07-08,NV,referral
F,2026-04-29,AZ,organic
M,2025-05-11,UT,google_ads
F,2026-07-22,FL,meta
M,2023-12-28,CA,google_ads
F,2025-09-21,CA,meta
M,2023-12-13,NY,referral
M,2022-08-08,NC,organic
F,2024-04-13,CA,referral
M,2024-04-15,AL,meta
F,2024-02-21,LA,referral
M,2024-10-05,FL,google_ads
F,2024-07-02,AL,meta
M,2023-10-12,VA,meta
F,2025-10-31,MA,organic
F,2024-08-26,TN,meta
M,2024-10-27,CA,organic
M,2025-07-10,NY,google_ads
F,2024-12-29,OH,organic
M,2023-10-16,FL,referral
M,2024-10-31,CA,google_ads
M,2023-04-02,FL,meta
F,2025-03-04,DC,meta
F,2023-12-22,OH,referral
F,2024-12-16,CA,google_ads
F,2026-03-21,NY,meta
F,2026-02-20,PA,referral
F,2024-05-29,CA,google_ads
F,2025-10-19,VA,google_ads
F,2026-08-23,IL,meta
F,2025-07-13,WA,organic
F,2023-09-24,CA,referral
M,2023-12-08,GA,google_ads
F,2026-07-07,TN,organic
M,2024-11-12,TX,google_ads
F,2022-10-04,AL,google_ads
M,2023-12-17,NY,referral
F,2025-02-06,OH,organic
M,2026-03-19,CA,organic
M,2023-05-01,GA,referral
F,2023-03-22,LA,google_ads
M,2022-10-04,AZ,google_ads
M,2026-07-12,DC,organic
M,2025-08-30,WI,referral
M,2026-08-09,AL,organic
F,2023-03-03,MI,referral
F,2026-07-15,TX,google_ads
M,2025-05-08,FL,meta
M,2025-08-13,GA,organic
F,2024-01-26,MN,google_ads
F,2026-06-24,OK,google_ads
M,2026-08-18,CA,google_ads
M,2023-01-08,TX,referral
M,2023-10-20,CO,referral
M,2022-11-03,NM,google_ads
M,2025-02-11,SC,google_ads
F,2026-01-20,LA,organic
M,2025-05-04,SC,meta
F,2023-01-06,IA,organic
F,2024-06-18,VA,referral
F,2024-08-02,LA,google_ads
F,2024-09-16,TX,organic
F,2022-08-21,OH,meta
M,2024-08-19,OK,referral
F,2026-05-14,KS,meta
F,2026-01-14,GA,referral
M,2023-03-21,MO,meta
M,2023-04-30,OH,referral
M,2024-03-14,FL,google_ads
M,2026-08-08,OH,referral
F,2023-01-25,AZ,organic
F,2025-11-05,NC,organic
F,2025-01-06,FL,referral
M,2024-01-10,CT,referral
F,2024-10-29,NY,organic
M,2025-05-29,PA,referral
F,2024-07-03,TX,referral
M,2025-07-18,OH,meta
M,2024-03-23,CO,google_ads
M,2024-03-04,NV,organic
F,2024-07-27,LA,organic
M,2025-08-30,VA,referral
M,2023-08-28,MI,google_ads
F,2023-02-01,AL,referral
M,2024-05-09,TX,meta
M,2023-08-23,NC,google_ads
F,2026-05-02,OK,organic
F,2023-05-20,CA,google_ads
F,2024-07-31,GA,organic
M,2023-03-25,DC,google_ads
M,2023-05-17,TN,google_ads
M,2023-08-08,TX,google_ads
F,2024-06-30,NC,referral
F,2026-06-07,TX,organic
M,2026-01-09,PA,meta
F,2026-03-28,WI,referral
F,2024-11-28,AL,meta
M,2023-04-05,MI,google_ads
F,2023-01-29,TX,google_ads
F,2026-05-19,NV,meta
F,2026-02-19,LA,google_ads
M,2022-09-08,VA,meta
M,2023-10-30,NC,referral
F,2023-08-17,DC,referral
M,2025-06-06,CO,google_ads
F,2025-06-03,DE,meta
M,2024-01-26,OK,organic
F,2025-01-16,TX,google_ads
M,2026-05-07,CA,google_ads
F,2025-08-22,VA,organic
M,2023-10-28,TX,google_ads
M,2025-02-22,IL,meta
M,2022-08-30,MI,referral
F,2026-05-26,CO,google_ads
F,2022-09-02,RI,meta
M,2023-08-18,CO,meta
F,2023-06-05,NY,google_ads
M,2025-10-05,TX,meta
M,2024-11-22,NC,meta
M,2023-10-23,KS,referral
F,2023-05-26,UT,google_ads
M,2024-06-02,MA,google_ads
M,2023-07-02,KS,meta
F,2025-10-12,TX,meta
M,2025-09-20,MS,organic
F,2026-02-02,UT,referral
F,2024-12-07,TX,referral
M,2024-06-24,IN,google_ads
F,2023-11-03,IA,google_ads
F,2026-08-10,LA,google_ads
F,2025-08-16,KS,meta
F,2026-03-04,FL,meta
F,2022-10-13,TX,referral
F,2023-06-21,FL,google_ads
F,2022-11-26,FL,organic
M,2023-07-16,MO,meta
M,2023-08-18,CA,meta
F,2022-11-16,NY,google_ads
F,2023-11-02,KY,google_ads
F,2026-04-13,SC,meta
M,2026-05-23,TX,organic
M,2025-08-20,OH,referral
F,2024-07-01,MA,meta
F,2023-03-23,FL,referral
M,2022-10-27,AL,organic
F,2023-05-04,CA,referral
M,2024-04-19,OH,referral
M,2024-01-08,PA,meta
F,2026-03-20,IL,google_ads
F,2022-10-27,FL,referral
F,2023-05-09,MA,meta
F,2024-05-12,MN,referral
M,2025-02-21,KY,google_ads
M,2026-02-17,FL,meta
M,2023-03-24,FL,google_ads
M,2023-03-25,CO,google_ads
M,2025-07-22,CA,google_ads
M,2026-02-18,LA,referral
F,2025-09-20,FL,referral
M,2026-04-12,MT,google_ads
M,2023-08-11,NY,google_ads
M,2023-02-12,NY,google_ads
M,2026-07-14,GA,referral
F,2023-08-12,DC,referral
F,2026-01-09,FL,organic
M,2025-04-24,MN,organic
M,2024-07-18,FL,referral
F,2025-11-02,TX,referral
F,2023-05-28,CA,google_ads
M,2024-01-11,OH,organic
M,2024-07-29,MN,meta
F,2026-06-18,OR,google_ads
M,2023-10-29,OR,meta
F,2026-02-13,FL,meta
F,2022-10-04,NY,google_ads
M,2023-10-26,MO,referral
M,2025-09-28,TX,meta
F,2026-07-10,NY,google_ads
F,2025-05-25,CA,organic
M,2022-10-24,NE,google_ads
F,2025-08-28,OH,organic
F,2024-08-07,AR,meta
F,2024-05-29,FL,referral
F,2023-04-01,TX,organic
M,2024-10-17,LA,google_ads
M,2026-07-30,IA,meta
F,2026-08-06,TX,organic
F,2025-02-10,DC,organic
M,2023-03-16,LA,meta
F,2024-05-07,GA,meta
M,2022-12-02,CO,referral
F,2023-03-11,CA,referral
M,2024-12-16,IN,meta
M,2025-11-17,FL,google_ads
M,2025-01-11,NE,google_ads
F,2023-09-22,NY,organic
F,2026-01-31,FL,meta
F,2026-07-19,SC,meta
F,2022-08-27,SD,referral
M,2025-01-02,CA,google_ads
M,2023-07-15,LA,referral
M,2023-11-20,AZ,organic
M,2024-03-14,FL,google_ads
F,2025-05-01,FL,meta
M,2026-01-06,NY,organic
F,2023-09-30,TX,referral
M,2025-01-08,PA,meta
M,2022-08-16,PA,organic
F,2023-05-27,TX,meta
M,2023-11-12,FL,google_ads
F,2025-05-23,TN,google_ads
M,2022-12-03,NV,organic
F,2024-04-17,CA,meta
F,2025-06-28,WV,meta
M,2024-11-13,CA,google_ads
F,2023-04-16,SC,meta
M,2024-12-04,VA,google_ads
F,2026-07-14,IL,meta
M,2024-06-27,VA,organic
F,2023-09-21,TX,google_ads
M,2023-10-17,TX,meta
F,2025-08-31,TX,organic
M,2024-10-05,AL,organic
M,2023-02-14,OK,meta
M,2026-07-07,GA,referral
M,2025-03-10,CA,google_ads
F,2026-05-05,OH,google_ads
F,2025-10-28,CA,referral
M,2025-12-06,FL,google_ads
